Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-01-02,0.459,0.467,0.441,0.464
2018-01-03,0.468,0.468,0.426,0.44
2018-01-04,0.452,0.463,0.432,0.433
2018-01-05,0.447,0.447,0.423,0.439
2018-01-08,0.457,0.457,0.409,0.434
2018-01-09,0.435,0.466,0.414,0.465
2018-01-10,0.476,0.485,0.459,0.476
2018-01-11,0.456,0.533,0.447,0.517
2018-01-12,0.521,0.543,0.507,0.511
2018-01-15,0.504,0.587,0.493,0.587
2018-01-16,0.572,0.577,0.545,0.56
2018-01-17,0.559,0.564,0.547,0.561
2018-01-18,0.573,0.595,0.567,0.573
2018-01-19,0.59,0.596,0.559,0.569
2018-01-22,0.569,0.591,0.561,0.567
2018-01-23,0.554,0.565,0.539,0.56
2018-01-24,0.572,0.596,0.565,0.585
2018-01-25,0.578,0.64,0.57,0.609
2018-01-26,0.604,0.634,0.593,0.626
2018-01-29,0.646,0.707,0.639,0.696
2018-01-30,0.677,0.698,0.668,0.683
2018-01-31,0.676,0.699,0.656,0.695
2018-02-01,0.724,0.738,0.693,0.721
2018-02-02,0.734,0.771,0.73,0.768
2018-02-05,0.764,0.764,0.72,0.737
2018-02-06,0.709,0.714,0.664,0.694
2018-02-07,0.701,0.748,0.686,0.744
2018-02-08,0.743,0.808,0.738,0.762
2018-02-09,0.769,0.776,0.723,0.745
2018-02-12,0.765,0.786,0.738,0.754
2018-02-13,0.742,0.752,0.718,0.749
2018-02-14,0.733,0.774,0.724,0.757
2018-02-15,0.768,0.796,0.751,0.765
2018-02-16,0.767,0.767,0.699,0.705
2018-02-19,0.725,0.743,0.72,0.736
2018-02-20,0.76,0.764,0.716,0.735
2018-02-21,0.716,0.726,0.697,0.723
2018-02-22,0.731,0.738,0.698,0.707
2018-02-23,0.688,0.689,0.651,0.651
2018-02-26,0.658,0.671,0.639,0.654
2018-02-27,0.657,0.685,0.653,0.677
2018-02-28,0.68,0.682,0.654,0.659
2018-03-01,0.653,0.656,0.621,0.645
2018-03-02,0.625,0.653,0.606,0.652
2018-03-05,0.604,0.646,0.603,0.646
2018-03-06,0.646,0.702,0.64,0.676
2018-03-07,0.664,0.676,0.647,0.656
2018-03-08,0.658,0.703,0.626,0.626
2018-03-09,0.647,0.66,0.631,0.646
2018-03-12,0.646,0.655,0.623,0.629
2018-03-13,0.63,0.64,0.608,0.618
2018-03-14,0.62,0.63,0.583,0.593
2018-03-15,0.591,0.597,0.566,0.575
2018-03-16,0.567,0.585,0.559,0.572
2018-03-19,0.577,0.607,0.563,0.568
2018-03-20,0.589,0.592,0.574,0.584
2018-03-21,0.584,0.604,0.58,0.593
2018-03-22,0.569,0.574,0.516,0.528
2018-03-23,0.524,0.55,0.517,0.527
2018-03-26,0.535,0.548,0.52,0.521
2018-03-27,0.53,0.532,0.5,0.504
2018-03-28,0.492,0.506,0.473,0.504
2018-03-29,0.504,0.511,0.49,0.494
2018-04-03,0.501,0.521,0.49,0.5
2018-04-04,0.499,0.507,0.479,0.502
2018-04-05,0.519,0.538,0.509,0.522
2018-04-06,0.508,0.52,0.492,0.499
2018-04-09,0.505,0.512,0.494,0.505
2018-04-10,0.498,0.529,0.488,0.517
2018-04-11,0.506,0.516,0.483,0.5
2018-04-12,0.498,0.517,0.494,0.517
2018-04-13,0.508,0.537,0.506,0.512
2018-04-16,0.527,0.551,0.52,0.525
2018-04-17,0.534,0.539,0.506,0.508
2018-04-18,0.515,0.535,0.496,0.532
2018-04-19,0.551,0.604,0.547,0.601
2018-04-20,0.593,0.613,0.586,0.592
2018-04-23,0.631,0.639,0.619,0.633
2018-04-24,0.616,0.655,0.61,0.63
2018-04-25,0.652,0.655,0.629,0.632
2018-04-26,0.62,0.623,0.585,0.595
2018-04-27,0.569,0.587,0.564,0.573
2018-04-30,0.586,0.593,0.557,0.562
2018-05-02,0.582,0.59,0.568,0.582
2018-05-03,0.591,0.592,0.525,0.534
2018-05-04,0.537,0.547,0.522,0.545
2018-05-07,0.533,0.541,0.518,0.533
2018-05-08,0.534,0.565,0.529,0.563
2018-05-09,0.571,0.586,0.558,0.559
2018-05-10,0.552,0.565,0.533,0.558
2018-05-11,0.546,0.569,0.541,0.556
2018-05-14,0.572,0.619,0.571,0.613
2018-05-15,0.623,0.65,0.615,0.647
2018-05-16,0.629,0.636,0.589,0.607
2018-05-17,0.641,0.642,0.598,0.639
2018-05-18,0.634,0.636,0.573,0.577
2018-05-22,0.54,0.573,0.538,0.559
2018-05-23,0.53,0.538,0.496,0.508
2018-05-24,0.516,0.533,0.461,0.47
2018-05-25,0.451,0.46,0.386,0.405
2018-05-28,0.446,0.452,0.339,0.344
2018-05-29,0.294,0.341,0.192,0.261
2018-05-30,0.323,0.373,0.305,0.37
2018-05-31,0.374,0.412,0.322,0.34
2018-06-01,0.388,0.41,0.361,0.385
2018-06-04,0.389,0.424,0.382,0.419
2018-06-05,0.396,0.417,0.361,0.368
2018-06-06,0.405,0.468,0.403,0.464
2018-06-07,0.503,0.517,0.481,0.484
2018-06-08,0.435,0.458,0.397,0.447
2018-06-11,0.475,0.508,0.461,0.494
2018-06-12,0.506,0.519,0.486,0.491
2018-06-13,0.49,0.497,0.462,0.484
2018-06-14,0.49,0.513,0.423,0.427
2018-06-15,0.398,0.414,0.376,0.403
2018-06-18,0.407,0.407,0.381,0.4
2018-06-19,0.356,0.377,0.35,0.372
2018-06-20,0.38,0.388,0.362,0.378
2018-06-21,0.378,0.386,0.317,0.336
2018-06-22,0.351,0.356,0.326,0.339
2018-06-25,0.312,0.343,0.304,0.329
2018-06-26,0.342,0.359,0.317,0.34
2018-06-27,0.324,0.341,0.305,0.321
2018-06-28,0.316,0.332,0.299,0.321
2018-06-29,0.341,0.354,0.3,0.303
2018-07-02,0.295,0.315,0.284,0.302
2018-07-03,0.316,0.331,0.289,0.294
2018-07-04,0.298,0.313,0.286,0.303
2018-07-05,0.336,0.343,0.292,0.297
2018-07-06,0.303,0.307,0.281,0.292
2018-07-09,0.306,0.324,0.298,0.303
2018-07-10,0.316,0.33,0.307,0.319
2018-07-11,0.305,0.319,0.292,0.311
2018-07-12,0.308,0.315,0.289,0.3
2018-07-13,0.299,0.299,0.263,0.284
2018-07-16,0.29,0.316,0.282,0.304
2018-07-17,0.36,0.366,0.344,0.347
2018-07-18,0.35,0.352,0.324,0.343
2018-07-19,0.352,0.361,0.329,0.331
2018-07-20,0.317,0.377,0.313,0.373
2018-07-23,0.393,0.41,0.371,0.408
2018-07-24,0.421,0.424,0.389,0.397
2018-07-25,0.386,0.398,0.38,0.396
2018-07-26,0.42,0.424,0.389,0.407
2018-07-27,0.404,0.418,0.397,0.404
2018-07-30,0.395,0.461,0.394,0.447
2018-07-31,0.428,0.456,0.419,0.444
2018-08-01,0.463,0.495,0.456,0.478
2018-08-02,0.48,0.482,0.446,0.461
2018-08-03,0.437,0.455,0.406,0.411
2018-08-06,0.417,0.424,0.386,0.394
2018-08-07,0.388,0.417,0.387,0.409
2018-08-08,0.41,0.419,0.396,0.399
2018-08-09,0.389,0.401,0.372,0.377
2018-08-10,0.338,0.354,0.316,0.323
2018-08-13,0.314,0.331,0.301,0.311
2018-08-14,0.329,0.339,0.319,0.329
2018-08-15,0.329,0.339,0.29,0.305
2018-08-16,0.315,0.322,0.301,0.318
2018-08-17,0.309,0.312,0.287,0.306
2018-08-20,0.307,0.32,0.298,0.305
2018-08-21,0.3,0.335,0.3,0.331
2018-08-22,0.33,0.357,0.321,0.345
2018-08-23,0.35,0.356,0.337,0.339
2018-08-24,0.353,0.364,0.338,0.344
2018-08-27,0.324,0.382,0.324,0.378
2018-08-28,0.371,0.397,0.359,0.382
2018-08-29,0.381,0.414,0.373,0.405
2018-08-30,0.403,0.412,0.345,0.347
2018-08-31,0.361,0.364,0.328,0.328
2018-09-03,0.347,0.347,0.314,0.336
2018-09-04,0.347,0.363,0.333,0.357
2018-09-05,0.361,0.401,0.345,0.382
2018-09-06,0.375,0.391,0.349,0.358
2018-09-07,0.361,0.396,0.359,0.39
2018-09-10,0.386,0.417,0.382,0.401
2018-09-11,0.42,0.441,0.412,0.434
2018-09-12,0.428,0.43,0.398,0.412
2018-09-13,0.407,0.443,0.405,0.426
2018-09-14,0.433,0.46,0.424,0.451
2018-09-17,0.448,0.473,0.414,0.459
2018-09-18,0.449,0.485,0.442,0.481
2018-09-19,0.485,0.502,0.47,0.49
2018-09-20,0.488,0.506,0.471,0.471
2018-09-21,0.48,0.485,0.454,0.461
2018-09-24,0.461,0.514,0.457,0.511
2018-09-25,0.526,0.55,0.52,0.542
2018-09-26,0.535,0.542,0.524,0.524
2018-09-27,0.492,0.533,0.478,0.529
2018-09-28,0.489,0.505,0.447,0.472
2018-10-01,0.48,0.508,0.468,0.474
2018-10-02,0.451,0.451,0.409,0.422
2018-10-03,0.457,0.483,0.433,0.477
2018-10-04,0.528,0.547,0.504,0.529
2018-10-05,0.551,0.578,0.542,0.575
2018-10-08,0.565,0.573,0.521,0.531
2018-10-09,0.553,0.571,0.531,0.548
2018-10-10,0.542,0.581,0.535,0.554
2018-10-11,0.513,0.534,0.501,0.519
2018-10-12,0.537,0.542,0.494,0.495
2018-10-15,0.487,0.51,0.482,0.503
2018-10-16,0.501,0.518,0.482,0.488
2018-10-17,0.469,0.482,0.45,0.462
2018-10-18,0.48,0.484,0.412,0.414
2018-10-19,0.418,0.464,0.389,0.464
2018-10-22,0.476,0.48,0.437,0.447
2018-10-23,0.431,0.442,0.402,0.41
2018-10-24,0.419,0.42,0.385,0.397
2018-10-25,0.389,0.415,0.384,0.399
2018-10-26,0.379,0.388,0.339,0.359
2018-10-29,0.354,0.399,0.347,0.379
2018-10-30,0.394,0.407,0.366,0.37
2018-10-31,0.392,0.403,0.377,0.387
2018-11-01,0.392,0.422,0.392,0.4
2018-11-02,0.428,0.44,0.419,0.427
2018-11-05,0.416,0.438,0.412,0.423
2018-11-06,0.437,0.437,0.405,0.434
2018-11-07,0.428,0.459,0.422,0.447
2018-11-08,0.458,0.469,0.445,0.458
2018-11-09,0.434,0.436,0.406,0.407
2018-11-12,0.401,0.404,0.378,0.401
2018-11-13,0.399,0.412,0.382,0.41
2018-11-14,0.383,0.415,0.383,0.399
2018-11-15,0.392,0.399,0.348,0.362
2018-11-16,0.363,0.376,0.36,0.368
2018-11-19,0.384,0.398,0.37,0.373
2018-11-20,0.375,0.377,0.341,0.352
2018-11-21,0.371,0.381,0.359,0.376
2018-11-22,0.369,0.378,0.353,0.37
2018-11-23,0.375,0.38,0.331,0.341
2018-11-26,0.361,0.371,0.355,0.362
2018-11-27,0.34,0.359,0.33,0.352
2018-11-28,0.338,0.358,0.332,0.35
2018-11-29,0.339,0.339,0.316,0.324
2018-11-30,0.324,0.328,0.305,0.314
2018-12-03,0.332,0.335,0.304,0.305
2018-12-04,0.296,0.3,0.261,0.262
2018-12-05,0.251,0.278,0.242,0.276
2018-12-06,0.266,0.266,0.224,0.236
2018-12-07,0.241,0.27,0.235,0.249
2018-12-10,0.251,0.267,0.236,0.247
2018-12-11,0.262,0.277,0.224,0.234
2018-12-12,0.236,0.28,0.23,0.28
2018-12-13,0.295,0.298,0.255,0.283
2018-12-14,0.272,0.272,0.246,0.256
2018-12-17,0.257,0.271,0.247,0.257
2018-12-18,0.234,0.254,0.229,0.245
