Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-01-04,0.048,0.059,0.048,0.056
2018-01-05,0.053,0.06,0.052,0.06
2018-01-09,0.059,0.079,0.058,0.068
2018-01-10,0.079,0.089,0.076,0.087
2018-01-11,0.076,0.079,0.069,0.07
2018-01-12,0.07,0.084,0.069,0.075
2018-01-15,0.074,0.084,0.069,0.074
2018-01-16,0.075,0.089,0.071,0.08
2018-01-17,0.081,0.094,0.078,0.084
2018-01-18,0.087,0.09,0.077,0.081
2018-01-19,0.084,0.085,0.077,0.084
2018-01-22,0.084,0.089,0.076,0.079
2018-01-23,0.079,0.079,0.072,0.073
2018-01-24,0.071,0.089,0.069,0.08
2018-01-25,0.083,0.091,0.081,0.084
2018-01-26,0.084,0.084,0.074,0.076
2018-01-29,0.079,0.094,0.078,0.084
2018-01-30,0.085,0.104,0.084,0.092
2018-01-31,0.09,0.096,0.081,0.084
2018-02-01,0.084,0.104,0.084,0.095
2018-02-02,0.099,0.102,0.082,0.087
2018-02-05,0.084,0.094,0.082,0.083
2018-02-06,0.075,0.085,0.065,0.077
2018-02-07,0.077,0.084,0.071,0.073
2018-02-08,0.075,0.084,0.074,0.079
2018-02-09,0.077,0.077,0.068,0.07
2018-02-13,0.07,0.08,0.065,0.065
2018-02-14,0.07,0.074,0.062,0.063
2018-02-15,0.071,0.074,0.062,0.063
2018-02-16,0.063,0.064,0.055,0.059
2018-02-19,0.058,0.07,0.057,0.06
2018-02-20,0.061,0.074,0.058,0.063
2018-02-21,0.063,0.065,0.052,0.054
2018-02-22,0.056,0.064,0.05,0.053
2018-02-23,0.052,0.059,0.044,0.049
2018-02-26,0.048,0.051,0.045,0.05
2018-02-27,0.047,0.049,0.042,0.044
2018-02-28,0.047,0.05,0.045,0.05
2018-03-01,0.048,0.064,0.037,0.056
2018-03-02,0.054,0.081,0.041,0.067
2018-03-05,0.067,0.067,0.04,0.044
2018-03-06,0.048,0.059,0.044,0.052
2018-03-07,0.049,0.059,0.045,0.049
2018-03-08,0.05,0.064,0.049,0.054
2018-03-09,0.054,0.059,0.048,0.05
2018-03-12,0.05,0.059,0.046,0.049
2018-03-13,0.049,0.054,0.048,0.05
2018-03-14,0.05,0.059,0.046,0.049
2018-03-15,0.049,0.055,0.043,0.045
2018-03-16,0.044,0.044,0.033,0.035
2018-03-19,0.034,0.044,0.033,0.039
2018-03-20,0.04,0.049,0.038,0.039
2018-03-22,0.039,0.044,0.033,0.035
2018-03-23,0.033,0.033,0.018,0.019
2018-03-26,0.021,0.03,0.02,0.024
2018-03-27,0.035,0.035,0.034,0.034
2018-03-28,0.034,0.036,0.03,0.034
2018-03-29,0.034,0.045,0.034,0.039
2018-03-30,0.039,0.049,0.034,0.046
2018-04-02,0.046,0.052,0.043,0.043
2018-04-03,0.043,0.043,0.025,0.026
2018-04-04,0.026,0.034,0.024,0.029
2018-04-05,0.029,0.044,0.029,0.04
2018-04-06,0.04,0.044,0.038,0.039
2018-04-09,0.039,0.039,0.034,0.036
2018-04-10,0.036,0.039,0.033,0.034
2018-04-11,0.034,0.034,0.029,0.031
2018-04-12,0.031,0.035,0.028,0.034
2018-04-13,0.034,0.039,0.031,0.035
2018-04-16,0.035,0.04,0.035,0.039
2018-04-17,0.039,0.041,0.037,0.039
2018-04-18,0.039,0.04,0.033,0.036
2018-04-19,0.036,0.041,0.034,0.039
2018-04-20,0.039,0.06,0.039,0.058
2018-04-23,0.059,0.071,0.058,0.061
2018-04-24,0.061,0.066,0.05,0.054
2018-04-25,0.061,0.066,0.059,0.062
2018-04-26,0.062,0.072,0.057,0.058
2018-04-27,0.058,0.058,0.05,0.053
2018-05-01,0.049,0.049,0.035,0.039
2018-05-02,0.039,0.049,0.036,0.044
2018-05-07,0.043,0.044,0.04,0.044
2018-05-08,0.044,0.05,0.043,0.048
2018-05-09,0.048,0.052,0.047,0.049
2018-05-10,0.049,0.055,0.048,0.049
2018-05-11,0.049,0.051,0.042,0.043
2018-05-14,0.045,0.05,0.044,0.048
2018-05-15,0.048,0.058,0.048,0.054
2018-05-16,0.054,0.062,0.053,0.054
2018-05-17,0.054,0.062,0.054,0.059
2018-05-18,0.059,0.07,0.056,0.07
2018-05-21,0.07,0.07,0.052,0.055
2018-05-22,0.055,0.056,0.049,0.052
2018-05-23,0.052,0.053,0.043,0.044
2018-05-24,0.044,0.054,0.043,0.045
2018-05-25,0.045,0.049,0.038,0.049
2018-05-28,0.049,0.049,0.038,0.039
2018-05-29,0.039,0.044,0.033,0.033
2018-05-30,0.033,0.039,0.023,0.031
2018-05-31,0.034,0.044,0.033,0.035
2018-06-01,0.033,0.049,0.03,0.043
2018-06-04,0.046,0.059,0.044,0.048
2018-06-05,0.048,0.054,0.048,0.049
2018-06-06,0.048,0.054,0.045,0.051
2018-06-07,0.052,0.059,0.048,0.049
2018-06-08,0.05,0.052,0.043,0.047
2018-06-11,0.043,0.049,0.043,0.044
2018-06-12,0.048,0.054,0.045,0.049
2018-06-13,0.048,0.054,0.048,0.049
2018-06-14,0.049,0.049,0.038,0.043
2018-06-15,0.039,0.041,0.033,0.034
2018-06-18,0.034,0.045,0.034,0.034
2018-06-19,0.035,0.04,0.028,0.033
2018-06-20,0.034,0.045,0.033,0.034
2018-06-21,0.034,0.04,0.034,0.034
2018-06-22,0.034,0.039,0.028,0.031
2018-06-25,0.035,0.04,0.027,0.029
2018-06-26,0.029,0.045,0.029,0.034
2018-06-27,0.033,0.039,0.032,0.034
2018-06-28,0.033,0.039,0.029,0.033
2018-06-29,0.033,0.039,0.029,0.031
2018-07-02,0.029,0.033,0.022,0.023
2018-07-03,0.024,0.04,0.024,0.029
2018-07-04,0.037,0.044,0.034,0.036
2018-07-05,0.035,0.044,0.029,0.034
2018-07-06,0.034,0.036,0.029,0.031
2018-07-09,0.029,0.035,0.029,0.032
2018-07-10,0.033,0.044,0.033,0.04
2018-07-11,0.041,0.044,0.037,0.039
2018-07-12,0.043,0.045,0.038,0.039
2018-07-13,0.041,0.049,0.038,0.049
2018-07-17,0.039,0.045,0.037,0.041
2018-07-18,0.04,0.049,0.039,0.044
2018-07-19,0.044,0.046,0.038,0.039
2018-07-20,0.035,0.044,0.032,0.033
2018-07-23,0.079,0.093,0.062,0.083
2018-07-24,0.085,0.091,0.075,0.084
2018-07-25,0.087,0.088,0.069,0.069
2018-07-26,0.075,0.099,0.073,0.092
2018-07-27,0.093,0.11,0.089,0.102
2018-07-30,0.105,0.113,0.098,0.102
2018-07-31,0.107,0.116,0.048,0.062
2018-08-01,0.066,0.134,0.063,0.128
2018-08-02,0.143,0.145,0.113,0.121
2018-08-03,0.125,0.13,0.105,0.109
2018-08-06,0.108,0.11,0.1,0.107
2018-08-07,0.105,0.119,0.104,0.109
2018-08-08,0.112,0.119,0.108,0.111
2018-08-09,0.111,0.119,0.109,0.114
2018-08-10,0.104,0.114,0.098,0.101
2018-08-13,0.099,0.11,0.095,0.099
2018-08-14,0.101,0.114,0.101,0.106
2018-08-15,0.107,0.107,0.095,0.096
2018-08-16,0.097,0.109,0.09,0.099
2018-08-17,0.099,0.104,0.094,0.096
2018-08-20,0.098,0.101,0.09,0.095
2018-08-21,0.093,0.099,0.088,0.09
2018-08-22,0.093,0.104,0.087,0.094
2018-08-23,0.098,0.1,0.093,0.095
2018-08-24,0.097,0.104,0.095,0.098
2018-08-27,0.102,0.102,0.093,0.095
2018-08-28,0.098,0.1,0.095,0.095
2018-08-29,0.099,0.104,0.097,0.099
2018-08-30,0.103,0.119,0.101,0.109
2018-08-31,0.106,0.11,0.098,0.106
2018-09-03,0.112,0.124,0.109,0.117
2018-09-04,0.118,0.129,0.111,0.119
2018-09-05,0.121,0.121,0.112,0.114
2018-09-06,0.114,0.119,0.104,0.109
2018-09-07,0.109,0.114,0.103,0.109
2018-09-10,0.11,0.119,0.109,0.114
2018-09-11,0.115,0.119,0.108,0.109
2018-09-12,0.113,0.115,0.107,0.109
2018-09-13,0.109,0.119,0.107,0.111
2018-09-14,0.113,0.115,0.109,0.114
2018-09-18,0.117,0.119,0.112,0.113
2018-09-19,0.12,0.129,0.115,0.12
2018-09-20,0.121,0.124,0.115,0.118
2018-09-21,0.119,0.135,0.113,0.129
2018-09-25,0.128,0.139,0.125,0.13
2018-09-26,0.13,0.134,0.122,0.124
2018-09-27,0.117,0.129,0.116,0.12
2018-09-28,0.128,0.134,0.124,0.128
2018-10-01,0.129,0.139,0.126,0.132
2018-10-02,0.133,0.134,0.125,0.129
2018-10-03,0.139,0.149,0.138,0.14
2018-10-04,0.147,0.169,0.147,0.158
2018-10-05,0.158,0.159,0.149,0.149
2018-10-09,0.154,0.169,0.15,0.159
2018-10-10,0.157,0.159,0.151,0.154
2018-10-11,0.15,0.154,0.14,0.144
2018-10-12,0.142,0.159,0.14,0.149
2018-10-15,0.148,0.15,0.141,0.142
2018-10-16,0.141,0.154,0.141,0.149
2018-10-17,0.149,0.151,0.144,0.147
2018-10-18,0.151,0.159,0.151,0.154
2018-10-19,0.151,0.154,0.148,0.149
2018-10-22,0.15,0.164,0.15,0.154
2018-10-23,0.151,0.154,0.145,0.149
2018-10-24,0.144,0.146,0.13,0.131
2018-10-25,0.123,0.123,0.115,0.115
2018-10-26,0.115,0.121,0.105,0.11
2018-10-29,0.113,0.124,0.108,0.109
2018-10-30,0.112,0.124,0.11,0.119
2018-10-31,0.124,0.134,0.124,0.129
2018-11-01,0.122,0.129,0.122,0.122
2018-11-02,0.12,0.134,0.116,0.129
2018-11-05,0.135,0.139,0.127,0.129
2018-11-06,0.13,0.139,0.129,0.129
2018-11-07,0.129,0.134,0.123,0.123
2018-11-08,0.128,0.134,0.123,0.124
2018-11-09,0.127,0.134,0.12,0.12
2018-11-12,0.12,0.129,0.118,0.118
2018-11-13,0.118,0.121,0.111,0.114
2018-11-14,0.114,0.115,0.105,0.109
2018-11-15,0.108,0.119,0.107,0.109
2018-11-16,0.101,0.109,0.101,0.104
2018-11-19,0.102,0.103,0.09,0.095
2018-11-20,0.092,0.109,0.092,0.103
2018-11-21,0.099,0.107,0.093,0.095
2018-11-22,0.094,0.099,0.091,0.096
2018-11-26,0.094,0.099,0.086,0.089
2018-11-27,0.09,0.099,0.088,0.089
2018-11-28,0.099,0.104,0.099,0.099
2018-11-29,0.102,0.102,0.08,0.081
2018-11-30,0.08,0.094,0.078,0.085
2018-12-03,0.08,0.094,0.08,0.082
2018-12-04,0.078,0.079,0.068,0.069
2018-12-05,0.056,0.074,0.05,0.066
2018-12-06,0.064,0.069,0.044,0.056
