Data;dax;spx;nkx;dey10;jpy10;usy10;eurjpy;eurusd;usdjpy
04.01.2018;13319.64;2723.99;23506.33;0.433;0.056;2.4562;136.143;1.20719;112.777
05.01.2018;13385.59;2743.15;23714.53;0.439;0.06;2.4799;136.213;1.2042;113.116
09.01.2018;13281.34;2751.29;23849.99;0.465;0.068;2.553;134.428;1.19359;112.625
10.01.2018;13202.9;2748.23;23788.2;0.476;0.087;2.557;133.115;1.19496;111.398
11.01.2018;13245.03;2767.56;23710.43;0.517;0.07;2.54;133.91;1.20386;111.234
12.01.2018;13246.33;2786.24;23653.82;0.511;0.075;2.548;135.33;1.219;111.017
16.01.2018;13183.96;2776.42;23951.81;0.56;0.08;2.537;135.366;1.22561;110.44
17.01.2018;13281.43;2802.56;23868.34;0.561;0.084;2.59;135.471;1.21655;111.352
18.01.2018;13434.45;2798.03;23763.37;0.573;0.081;2.627;135.931;1.22409;111.052
19.01.2018;13463.69;2810.3;23808.06;0.569;0.084;2.659;135.377;1.22198;110.785
22.01.2018;13559.6;2832.97;23816.33;0.567;0.079;2.65;136.011;1.2261;110.93
23.01.2018;13414.74;2839.13;24124.15;0.56;0.073;2.617;135.623;1.22975;110.285
24.01.2018;13298.36;2837.54;23940.78;0.585;0.08;2.65;135.444;1.24046;109.19
25.01.2018;13340.17;2839.25;23669.49;0.609;0.084;2.617;135.681;1.23735;109.655
26.01.2018;13324.48;2872.87;23631.88;0.626;0.076;2.664;135.01;1.2419;108.713
29.01.2018;13197.71;2853.53;23629.34;0.696;0.084;2.697;134.963;1.23825;108.995
30.01.2018;13189.48;2822.43;23291.97;0.683;0.092;2.72;134.927;1.24053;108.766
31.01.2018;13003.9;2823.81;23098.29;0.695;0.084;2.709;135.54;1.24125;109.198
01.02.2018;12785.16;2821.98;23486.11;0.721;0.095;2.793;136.883;1.25049;109.456
02.02.2018;12687.49;2762.13;23274.53;0.768;0.087;2.841;137.205;1.24612;110.106
05.02.2018;12392.66;2648.94;22682.08;0.737;0.083;2.706;135.061;1.23758;109.134
06.02.2018;12590.43;2695.14;21610.24;0.694;0.077;2.805;135.851;1.23833;109.706
07.02.2018;12260.29;2681.66;21645.37;0.744;0.073;2.84;134.026;1.22538;109.375
08.02.2018;12107.48;2581;21890.86;0.762;0.079;2.824;133.199;1.22477;108.761
09.02.2018;12196.5;2619.55;21382.62;0.745;0.07;2.851;133.146;1.22351;108.823
13.02.2018;12339.16;2662.94;21244.68;0.749;0.065;2.829;133.167;1.23498;107.83
14.02.2018;12346.17;2698.63;21154.17;0.757;0.063;2.906;133.229;1.2454;106.976
15.02.2018;12451.96;2731.2;21464.98;0.765;0.063;2.913;132.748;1.2501;106.19
16.02.2018;12487.9;2732.22;21720.25;0.705;0.059;2.879;131.872;1.24063;106.295
20.02.2018;12470.49;2716.26;21925.1;0.735;0.063;2.89;132.388;1.23357;107.322
21.02.2018;12461.91;2701.33;21970.81;0.723;0.054;2.95;132.275;1.22756;107.754
22.02.2018;12483.79;2703.96;21736.44;0.707;0.053;2.922;131.596;1.23297;106.731
23.02.2018;12527.04;2747.3;21892.78;0.651;0.049;2.868;131.383;1.22924;106.881
26.02.2018;12490.73;2779.6;22153.63;0.654;0.05;2.866;131.761;1.23133;107.007
27.02.2018;12435.85;2744.28;22389.86;0.677;0.044;2.897;131.353;1.22358;107.351
28.02.2018;12190.94;2713.83;22068.24;0.659;0.05;2.862;130.048;1.21935;106.654
01.03.2018;11913.71;2677.67;21724.47;0.645;0.056;2.808;130.229;1.22746;106.097
02.03.2018;12090.87;2691.25;21181.64;0.652;0.067;2.864;130.332;1.23293;105.71
05.03.2018;12113.87;2720.94;21042.09;0.646;0.044;2.883;131.015;1.23344;106.219
06.03.2018;12245.36;2728.12;21417.76;0.676;0.052;2.89;131.257;1.24214;105.67
07.03.2018;12355.57;2726.8;21252.72;0.656;0.049;2.886;131.715;1.24108;106.129
08.03.2018;12346.68;2738.97;21368.07;0.626;0.054;2.861;130.88;1.23134;106.29
09.03.2018;12418.39;2786.57;21469.2;0.646;0.05;2.894;131.458;1.23062;106.823
12.03.2018;12221.03;2783.02;21824.03;0.629;0.049;2.866;131.238;1.23337;106.406
13.03.2018;12237.74;2765.31;21968.1;0.618;0.05;2.844;131.992;1.23937;106.499
14.03.2018;12345.56;2749.48;21777.29;0.593;0.049;2.819;131.504;1.23683;106.324
15.03.2018;12389.58;2747.33;21803.95;0.575;0.045;2.826;130.804;1.23062;106.291
16.03.2018;12217.02;2752.01;21676.51;0.572;0.035;2.845;130.276;1.22889;106.011
19.03.2018;12307.33;2712.92;21480.9;0.568;0.039;2.855;130.804;1.23349;106.044
20.03.2018;12100.08;2716.94;21380.97;0.584;0.039;2.9;130.454;1.22456;106.531
22.03.2018;11886.31;2643.69;21591.99;0.528;0.035;2.823;129.185;1.23204;104.854
23.03.2018;11787.26;2588.26;20617.86;0.527;0.019;2.813;129.376;1.23537;104.726
26.03.2018;11970.83;2658.55;20766.1;0.521;0.024;2.856;131.28;1.24478;105.464
27.03.2018;11940.71;2612.62;21317.32;0.504;0.034;2.775;130.749;1.24065;105.388
28.03.2018;12096.73;2605;21031.31;0.504;0.034;2.783;131.476;1.23103;106.802
29.03.2018;12002.45;2640.87;21159.08;0.494;0.039;2.741;131.007;1.23022;106.49
03.04.2018;11957.9;2614.45;21292.29;0.5;0.026;2.779;130.805;1.22701;106.605
04.04.2018;12305.19;2644.69;21319.55;0.502;0.029;2.803;131.133;1.22826;106.763
05.04.2018;12241.27;2662.84;21645.42;0.522;0.04;2.834;131.471;1.22392;107.418
06.04.2018;12261.75;2604.47;21567.52;0.499;0.039;2.777;131.289;1.22853;106.867
09.04.2018;12397.32;2613.16;21678.26;0.505;0.036;2.783;131.594;1.23222;106.794
10.04.2018;12293.97;2656.87;21794.32;0.517;0.034;2.801;132.429;1.23536;107.199
11.04.2018;12415.01;2642.19;21687.1;0.5;0.031;2.781;132.088;1.23677;106.801
12.04.2018;12442.4;2663.99;21660.28;0.517;0.034;2.839;132.272;1.23266;107.306
13.04.2018;12391.41;2656.3;21778.74;0.512;0.035;2.827;132.486;1.23385;107.376
16.04.2018;12585.57;2677.84;21835.53;0.525;0.039;2.83;132.639;1.23806;107.135
17.04.2018;12590.83;2706.39;21847.59;0.508;0.039;2.83;132.422;1.2374;107.017
18.04.2018;12567.42;2708.64;22158.2;0.532;0.036;2.875;132.732;1.23782;107.23
19.04.2018;12540.5;2693.13;22191.18;0.601;0.039;2.912;132.59;1.23462;107.394
20.04.2018;12572.39;2670.14;22162.24;0.592;0.058;2.96;132.219;1.22825;107.649
23.04.2018;12550.82;2670.29;22088.04;0.633;0.061;2.975;132.727;1.22087;108.715
24.04.2018;12422.3;2634.56;22278.12;0.63;0.054;3.001;133.132;1.22338;108.819
25.04.2018;12500.47;2639.4;22215.32;0.632;0.062;3.03;133.054;1.21627;109.396
26.04.2018;12580.87;2666.94;22319.61;0.595;0.058;2.985;132.322;1.21055;109.312
27.04.2018;12802.25;2669.91;22467.87;0.573;0.053;2.957;132.306;1.213;109.073
02.05.2018;12948.14;2635.67;22472.78;0.582;0.044;2.966;131.338;1.1956;109.851
07.05.2018;12912.21;2672.63;22467.16;0.533;0.044;2.952;130.057;1.19223;109.087
08.05.2018;12943.06;2671.92;22508.69;0.563;0.048;2.98;129.377;1.18627;109.062
09.05.2018;13022.87;2697.79;22408.88;0.559;0.049;3.006;130.056;1.18519;109.735
10.05.2018;13001.24;2723.07;22497.18;0.558;0.049;2.964;130.388;1.19165;109.418
11.05.2018;12977.71;2727.72;22758.48;0.556;0.043;2.971;130.571;1.19446;109.314
14.05.2018;12970.04;2730.13;22865.86;0.613;0.048;3.006;130.83;1.19269;109.693
15.05.2018;12996.33;2711.45;22818.02;0.647;0.054;3.074;130.624;1.18381;110.342
16.05.2018;13114.61;2722.46;22717.23;0.607;0.054;3.1;130.275;1.18118;110.292
17.05.2018;13077.72;2720.13;22838.37;0.639;0.059;3.115;130.672;1.1795;110.786
18.05.2018;13169.92;2712.97;22930.36;0.577;0.07;3.056;130.298;1.17678;110.725
22.05.2018;12976.84;2724.44;22960.34;0.559;0.052;3.062;130.636;1.17784;110.911
23.05.2018;12855.09;2733.29;22689.74;0.508;0.044;2.993;128.681;1.17041;109.945
24.05.2018;12938.01;2727.76;22437.01;0.47;0.045;2.979;128.014;1.17225;109.204
25.05.2018;12666.51;2721.33;22450.79;0.405;0.049;2.931;127.652;1.16606;109.473
29.05.2018;12783.76;2689.86;22358.43;0.261;0.033;2.784;125.365;1.15452;108.586
30.05.2018;12604.89;2724.01;22018.52;0.37;0.031;2.857;127.056;1.16675;108.897
