Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-01-02,135.274,135.62,134.931,135.324
2018-01-03,135.322,135.507,134.809,135.174
2018-01-04,135.177,136.363,135.163,136.143
2018-01-05,136.149,136.632,136.074,136.213
2018-01-08,136.111,136.325,135.133,135.431
2018-01-09,135.42,135.472,134.054,134.428
2018-01-10,134.425,134.561,133.063,133.115
2018-01-11,133.119,134.35,133.082,133.91
2018-01-12,133.909,135.37,133.863,135.33
2018-01-15,135.594,135.988,135.024,135.588
2018-01-16,135.587,136.104,134.982,135.366
2018-01-17,135.358,135.983,135.158,135.471
2018-01-18,135.467,136.313,135.464,135.931
2018-01-19,135.938,136.045,135.19,135.377
2018-01-22,135.614,136.149,135.349,136.011
2018-01-23,136.022,136.212,135.204,135.623
2018-01-24,135.618,135.662,134.938,135.444
2018-01-25,135.446,136.279,135.047,135.681
2018-01-26,135.733,136.139,134.547,135.01
2018-01-29,134.953,135.349,134.327,134.963
2018-01-30,134.965,135.203,134.136,134.927
2018-01-31,134.927,136.052,134.861,135.54
2018-02-01,135.54,136.959,135.51,136.883
2018-02-02,136.872,137.504,136.669,137.205
2018-02-05,137.087,137.11,134.893,135.061
2018-02-06,135.058,135.851,133.986,135.851
2018-02-07,135.828,135.831,133.826,134.026
2018-02-08,134.031,134.793,132.944,133.199
2018-02-09,133.207,134.163,131.976,133.146
2018-02-12,133.373,133.654,132.911,133.628
2018-02-13,133.631,133.788,132.53,133.167
2018-02-14,133.15,133.39,131.616,133.229
2018-02-15,133.175,133.265,132.527,132.748
2018-02-16,132.712,133.105,131.825,131.872
2018-02-19,131.955,132.378,131.818,132.269
2018-02-20,132.269,132.51,132.12,132.388
2018-02-21,132.373,133.06,132.248,132.275
2018-02-22,132.272,132.32,131.289,131.596
2018-02-23,131.598,131.852,130.939,131.383
2018-02-26,131.562,131.766,131.083,131.761
2018-02-27,131.749,132.186,131.274,131.353
2018-02-28,131.347,131.521,130.04,130.048
