Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-01-02,112.602,112.793,112.057,112.232
2018-01-03,112.231,112.609,112.173,112.546
2018-01-04,112.547,112.866,112.491,112.777
2018-01-05,112.777,113.309,112.724,113.116
2018-01-08,113.113,113.387,112.884,113.157
2018-01-09,113.157,113.182,112.368,112.625
2018-01-10,112.626,112.783,111.272,111.398
2018-01-11,111.418,111.876,111.046,111.234
2018-01-12,111.233,111.693,110.915,111.017
2018-01-15,111.1,111.185,110.33,110.552
2018-01-16,110.548,110.981,110.248,110.44
2018-01-17,110.426,111.365,110.194,111.352
2018-01-18,111.353,111.483,110.704,111.052
2018-01-19,111.052,111.131,110.497,110.785
2018-01-22,110.624,111.225,110.562,110.93
2018-01-23,110.935,111.178,110.242,110.285
2018-01-24,110.284,110.337,108.968,109.19
2018-01-25,109.184,109.703,108.501,109.655
2018-01-26,109.655,109.771,108.285,108.713
2018-01-29,108.659,109.204,108.512,108.995
2018-01-30,108.996,109.207,108.419,108.766
2018-01-31,108.772,109.447,108.598,109.198
2018-02-01,109.197,109.751,109.095,109.456
2018-02-02,109.45,110.483,109.282,110.106
2018-02-05,110.275,110.282,108.993,109.134
2018-02-06,109.134,109.717,108.457,109.706
2018-02-07,109.706,109.706,108.921,109.375
2018-02-08,109.37,109.786,108.587,108.761
2018-02-09,108.763,109.307,108.048,108.823
2018-02-12,108.852,108.89,108.44,108.72
2018-02-13,108.721,108.782,107.411,107.83
2018-02-14,107.831,107.902,106.724,106.976
2018-02-15,106.956,106.961,106.037,106.19
2018-02-16,106.189,106.399,105.554,106.295
2018-02-19,106.291,106.7,106.098,106.614
2018-02-20,106.608,107.376,106.594,107.322
2018-02-21,107.319,107.904,107.29,107.754
2018-02-22,107.73,107.765,106.597,106.731
2018-02-23,106.729,107.135,106.514,106.881
2018-02-26,107.06,107.113,106.378,107.007
2018-02-27,106.999,107.676,106.791,107.351
2018-02-28,107.351,107.529,106.568,106.654
2018-03-01,106.659,107.199,106.078,106.097
2018-03-02,106.1,106.293,105.253,105.71
2018-03-05,105.624,106.237,105.354,106.219
2018-03-06,106.217,106.462,105.56,105.67
2018-03-07,105.666,106.22,105.459,106.129
2018-03-08,106.127,106.315,105.895,106.29
2018-03-09,106.291,107.05,106.265,106.823
2018-03-12,106.945,106.971,106.317,106.406
2018-03-13,106.409,107.286,106.255,106.499
2018-03-14,106.499,106.748,106.072,106.324
2018-03-15,106.319,106.414,105.792,106.291
2018-03-16,106.29,106.366,105.608,106.011
2018-03-19,105.978,106.303,105.68,106.044
2018-03-20,106.044,106.605,105.931,106.531
2018-03-21,106.54,106.632,105.886,105.963
2018-03-22,105.965,105.985,104.648,104.854
2018-03-23,104.849,105.282,104.65,104.726
2018-03-26,104.67,105.479,104.665,105.464
2018-03-27,105.463,105.903,105.329,105.388
2018-03-28,105.381,107.011,105.361,106.802
2018-03-29,106.796,106.932,106.27,106.49
2018-03-30,106.49,106.539,106.126,106.267
2018-04-02,106.267,106.45,105.661,105.854
2018-04-03,105.853,106.657,105.696,106.605
2018-04-04,106.597,106.848,105.996,106.763
2018-04-05,106.753,107.492,106.718,107.418
2018-04-06,107.417,107.459,106.782,106.867
2018-04-09,106.918,107.203,106.62,106.794
2018-04-10,106.776,107.399,106.62,107.199
2018-04-11,107.19,107.229,106.652,106.801
2018-04-12,106.801,107.427,106.704,107.306
2018-04-13,107.303,107.779,107.205,107.376
2018-04-16,107.501,107.604,107.039,107.135
2018-04-17,107.136,107.209,106.886,107.017
2018-04-18,107.018,107.385,107.006,107.23
2018-04-19,107.219,107.516,107.185,107.394
2018-04-20,107.395,107.856,107.379,107.649
2018-04-23,107.772,108.754,107.663,108.715
2018-04-24,108.721,109.2,108.544,108.819
2018-04-25,108.82,109.454,108.789,109.396
2018-04-26,109.44,109.465,109.07,109.312
2018-04-27,109.312,109.536,108.982,109.073
2018-04-30,109.084,109.453,109.023,109.268
2018-05-01,109.267,109.889,109.245,109.845
2018-05-02,109.846,110.012,109.595,109.851
2018-05-03,109.842,109.879,108.932,109.18
2018-05-04,109.173,109.271,108.649,109.09
2018-05-07,109.095,109.396,108.759,109.087
2018-05-08,109.087,109.351,108.841,109.062
2018-05-09,109.073,109.833,108.998,109.735
2018-05-10,109.734,110.017,109.324,109.418
2018-05-11,109.427,109.569,109.155,109.314
2018-05-14,109.322,109.702,109.211,109.693
2018-05-15,109.694,110.453,109.662,110.342
2018-05-16,110.342,110.396,110.042,110.292
2018-05-17,110.292,110.858,110.081,110.786
2018-05-18,110.786,111.082,110.612,110.725
2018-05-21,110.885,111.393,110.825,111.031
2018-05-22,111.03,111.184,110.799,110.911
2018-05-23,110.909,110.921,109.56,109.945
2018-05-24,109.953,110.045,108.963,109.204
2018-05-25,109.221,109.739,109.13,109.473
2018-05-28,109.751,109.8,109.24,109.379
2018-05-29,109.374,109.468,108.114,108.586
2018-05-30,108.585,109.075,108.352,108.897
2018-05-31,108.896,109.003,108.387,108.778
2018-06-01,108.777,109.734,108.723,109.561
2018-06-04,109.48,109.852,109.376,109.807
2018-06-05,109.81,110.005,109.481,109.834
2018-06-06,109.833,110.264,109.8,110.147
2018-06-07,110.145,110.22,109.495,109.704
2018-06-08,109.707,109.853,109.202,109.45
2018-06-11,109.323,110.119,109.323,110.061
2018-06-12,110.061,110.495,110.041,110.384
2018-06-13,110.385,110.846,110.254,110.257
2018-06-14,110.257,110.693,109.919,110.673
2018-06-15,110.673,110.901,110.39,110.6
2018-06-18,110.678,110.678,110.301,110.547
2018-06-19,110.554,110.572,109.555,110.03
2018-06-20,110.033,110.449,109.861,110.353
2018-06-21,110.355,110.758,109.844,109.889
2018-06-22,109.888,110.218,109.806,109.99
2018-06-25,109.908,110.025,109.37,109.736
2018-06-26,109.737,110.193,109.372,110.026
2018-06-27,110.026,110.49,109.687,110.236
2018-06-28,110.236,110.648,109.968,110.466
2018-06-29,110.468,110.943,110.381,110.697
2018-07-02,110.674,111.063,110.607,110.862
2018-07-03,110.862,111.13,110.51,110.585
2018-07-04,110.582,110.593,110.283,110.451
2018-07-05,110.451,110.71,110.297,110.667
2018-07-06,110.702,110.787,110.383,110.423
2018-07-09,110.425,110.902,110.354,110.848
2018-07-10,110.848,111.352,110.835,110.991
2018-07-11,110.993,112.175,110.77,111.935
2018-07-12,111.934,112.625,111.92,112.527
2018-07-13,112.527,112.801,112.278,112.331
2018-07-16,112.32,112.559,112.232,112.275
2018-07-17,112.275,112.925,112.232,112.905
2018-07-18,112.9,113.137,112.721,112.841
2018-07-19,112.841,113.175,112.066,112.438
2018-07-20,112.438,112.624,111.405,111.504
2018-07-23,111.408,111.54,110.754,111.307
2018-07-24,111.316,111.515,110.967,111.204
2018-07-25,111.211,111.385,110.672,110.859
2018-07-26,110.871,111.249,110.593,111.245
2018-07-27,111.243,111.245,110.799,110.991
2018-07-30,110.971,111.165,110.892,111.055
2018-07-31,111.047,111.958,110.779,111.843
2018-08-01,111.841,112.15,111.395,111.695
2018-08-02,111.689,111.732,111.339,111.641
2018-08-03,111.643,111.802,111.102,111.222
2018-08-06,111.224,111.527,111.17,111.4
2018-08-07,111.397,111.478,110.997,111.382
2018-08-08,111.382,111.439,110.839,110.926
2018-08-09,110.925,111.182,110.709,111.102
2018-08-10,111.101,111.169,110.517,110.796
